id,ciiu_4n4
1,S9420
2,L6820
3,O8412
4,I5610
5,Q8890
6,K6611
7,F4210
8,S9609
9,G4641
10,M7490
11,G4649
12,S9420
13,M7110
14,H5221
15,G4719
16,E3600
17,S9411
18,S9420
19,M7020
20,M7020
21,G4741
22,M7110
23,C2011
24,M7020
25,S9499
26,M7020
27,S9420
28,S9491
29,J6201
30,G4741
31,M6920
32,S9499
33,M7110
34,H5221
35,S9411
36,C1410
37,S9491
38,S9602
39,Q8620
40,Q8620
41,C2396
42,M7020
43,G4669
44,S9420
45,K6630
46,F4100
47,G4721
48,O8413
49,G4530
50,M7110
51,K6611
52,C2520
53,H4922
54,K6430
55,M7310
56,O8423
57,A0163
58,S9420
59,G4630
60,G4719
61,I5510
62,A0129
63,G4653
64,L6810
65,E3600
66,J5911
67,K6611
68,Q8620
69,H5229
70,S9420
71,G4741
72,K6622
73,H5120
74,G4652
75,S9491
76,C1061
77,G4520
78,S9420
79,G4663
80,H4923
81,G4520
82,M7310
83,M7110
84,L6810
85,O8411
86,S9491
87,Q8890
88,O8411
89,M7020
90,P8530
91,N8010
92,H5221
93,M7490
94,K6630
95,F4321
96,E3600
97,G4649
98,O8411
99,S9420
100,C1410
101,L6820
102,S9420
103,O8411
104,G4669
105,M7110
106,L6810
107,J6201
108,S9420
109,S9411
110,Q8790
111,M7020
112,L6820
113,O8411
114,G4652
115,Q8810
116,G4520
117,M7110
118,M6920
119,H4922
120,B0729
121,M6910
122,H4923
123,G4649
124,G4630
125,I5610
126,N8010
127,B0810
128,D3510
129,G4649
130,G4649
131,M7020
132,L6810
133,G4649
134,C2592
135,C2399
136,C1103
137,K6630
138,L6820
139,S9420
140,G4641
141,H4923
142,S9420
143,G4649
144,L6810
145,S9491
146,Q8810
147,K6611
148,O8412
149,L6810
150,R9311
151,L6810
152,F4100
153,M7020
154,M7110
155,G4510
156,N8291
157,M7110
158,J6311
159,G4649
160,S9411
161,Q8690
162,G4659
163,H4923
164,G4719
165,H4921
166,G4620
167,H5120
168,G4649
169,S9420
170,C2710
171,A0163
172,G4630
173,G4540
174,G4690
175,S9499
176,S9491
177,N7730
178,M6910
179,B0729
180,L6810
181,G4669
182,G4649
183,G4690
184,G4649
185,L6810
186,O8412
187,K6511
188,G4690
189,G4620
190,G4649
191,S9499
192,H4923
193,K6430
194,G4763
195,O8411
196,S9499
197,H4923
198,L6820
199,F4210
200,N8129
201,Q8620
202,F4100
203,M7490
204,J6201
205,C1079
206,F4210
207,O8411
208,Q8690
209,G4651
210,M7020
211,G4663
212,G4659
213,H4923
214,F4321
215,C2930
216,O8412
217,H4922
218,G4663
219,C1079
220,G4620
221,L6820
222,G4663
223,M7110
224,A0321
225,A0119
226,Q8810
227,M7310
228,S9420
229,G4620
230,H4921
231,L6820
232,N8129
233,M7110
234,G4510
235,H4923
236,H5320
237,C1410
238,G4663
239,I5621
240,K6621
241,O8413
242,N8010
243,G4649
244,S9420
245,F4210
246,G4649
247,G4530
248,S9420
249,G4651
250,O8412
251,H4921
252,G4649
253,A0321
254,K6419
255,G4669
256,G4649
257,F4210
258,S9420
259,U9900
260,C1811
261,L6820
262,G4690
263,G4663
264,C2824
265,F4100
266,M7210
267,O8411
268,K6622
269,J6201
270,A0311
271,G4649
272,F4390
273,K6630
274,L6810
275,F4220
276,C2920
277,C1104
278,G4652
279,L6820
280,Q8890
281,C1811
282,L6810
283,H5221
284,A0111
285,H4921
286,H4923
287,L6810
288,H4922
289,A0150
290,O8412
291,H5221
292,N7911
293,K6511
294,K6619
295,G4649
296,M7110
297,F4321
298,R9311
299,S9420
300,C3320
301,N8010
302,Q8620
303,B0910
304,G4771
305,K6611
306,J6201
307,C1811
308,C1050
309,F4220
310,S9420
311,H5320
312,G4630
313,O8412
314,B0810
315,F4290
316,H4923
317,J6202
318,M7020
319,A0210
320,K6622
321,Q8690
322,G4663
323,A0111
324,H4923
325,G4721
326,M7110
327,L6810
328,L6820
329,G4530
330,M7020
331,H5221
332,E3830
333,G4663
334,G4741
335,A0141
336,Q8720
337,L6810
338,G4641
339,L6810
340,N7911
341,G4530
342,L6820
343,H4923
344,F4390
345,L6810
346,P8549
347,M7020
348,P8549
349,S9499
350,O8412
351,C1102
352,H4923
353,G4520
354,M7020
355,G4641
356,P8549
357,L6810
358,G4641
359,F4321
360,G4630
361,I5510
362,F4100
363,L6810
364,G4652
365,F4210
366,L6810
367,S9609
368,A0163
369,G4659
370,M7110
371,L6810
372,Q8720
373,G4620
374,S9420
375,O8412
376,G4773
377,G4669
378,L6810
379,C3100
380,M7110
381,J6201
382,C3011
383,G4630
384,R9311
385,H5221
386,C2420
387,N7730
388,O8411
389,M7020
390,M6910
391,S9420
392,H5221
393,S9420
394,M7020
395,Q8890
396,O8412
397,J6190
398,M7020
399,S9609
